ISO;Country;Units;Scale;2017;2018;Estimates Start After
AFG;Afghanistan;"Purchasing power parity; international dollars";Units;1951,865;2025,472;2016
ALB;Albania;"Purchasing power parity; international dollars";Units;12494,07;13326,694;2018
DZA;Algeria;"Purchasing power parity; international dollars";Units;15063,637;15331,743;2017
AGO;Angola;"Purchasing power parity; international dollars";Units;6977,938;6851,272;2017
ATG;Antigua and Barbuda;"Purchasing power parity; international dollars";Units;25738,711;28012,75;2011
ARG;Argentina;"Purchasing power parity; international dollars";Units;20800,31;20551,043;2018
ARM;Armenia;"Purchasing power parity; international dollars";Units;9496,259;10273,434;2015
ABW;Aruba;"Purchasing power parity; international dollars";Units;38094,138;39345,367;2017
AUS;Australia;"Purchasing power parity; international dollars";Units;50560,909;52379,456;2018
AUT;Austria;"Purchasing power parity; international dollars";Units;49963,648;52172,116;2018
AZE;Azerbaijan;"Purchasing power parity; international dollars";Units;17633,927;18022,631;2018
BHS;The Bahamas;"Purchasing power parity; international dollars";Units;31894,414;32816,553;2018
BHR;Bahrain;"Purchasing power parity; international dollars";Units;48964,93;50048,506;2016
BGD;Bangladesh;"Purchasing power parity; international dollars";Units;4231,271;4630,291;2013
BRB;Barbados;"Purchasing power parity; international dollars";Units;18365,035;18655,473;2018
BLR;Belarus;"Purchasing power parity; international dollars";Units;18864,474;19940,726;2018
BEL;Belgium;"Purchasing power parity; international dollars";Units;46701,153;48327,204;2018
BLZ;Belize;"Purchasing power parity; international dollars";Units;8268,309;8503,859;2014
BEN;Benin;"Purchasing power parity; international dollars";Units;3073,721;3267,363;2017
BTN;Bhutan;"Purchasing power parity; international dollars";Units;8860,899;9343,63;2015
BOL;Bolivia;"Purchasing power parity; international dollars";Units;7454,34;7842,232;2012
BIH;Bosnia and Herzegovina;"Purchasing power parity; international dollars";Units;12783,853;13583,246;2018
BWA;Botswana;"Purchasing power parity; international dollars";Units;17085,613;17947,746;2016
BRA;Brazil;"Purchasing power parity; international dollars";Units;15715,758;16146,092;2016
